date,open,close,high,low,volume,code
2020-01-02,17.9,17.98,18.02,17.7,2068520.0,300538
2020-01-03,17.95,18.0,18.09,17.85,2037589.0,300538
2020-01-06,18.0,18.42,18.65,17.83,3454345.0,300538
2020-01-07,18.41,18.68,18.68,18.34,3031175.0,300538
2020-01-08,18.65,18.32,18.77,18.26,2988554.0,300538
2020-01-09,18.46,18.61,18.73,18.43,2645003.0,300538
2020-01-10,18.81,18.39,18.87,18.3,2055347.0,300538
2020-01-13,18.25,18.64,18.76,18.24,2403840.0,300538
2020-01-14,18.7,18.76,18.84,18.6,2965039.0,300538
2020-01-15,18.68,18.62,18.83,18.41,1944063.0,300538
2020-01-16,18.59,18.69,19.26,18.45,3181151.0,300538
2020-01-17,18.5,18.15,18.63,18.06,3158439.0,300538
2020-01-20,18.28,18.84,18.98,18.28,3608567.0,300538
2020-01-21,19.0,18.57,19.03,18.48,2723504.0,300538
2020-01-22,18.44,19.07,19.19,18.0,4865036.0,300538
2020-01-23,18.8,18.0,18.92,17.68,4562353.0,300538
2020-02-03,16.2,16.2,16.2,16.2,243600.0,300538
2020-02-04,14.58,14.93,15.36,14.58,5006970.0,300538
2020-02-05,15.07,15.16,15.5,15.06,3310464.0,300538
2020-02-06,14.96,15.43,15.43,14.96,3140701.0,300538
2020-02-07,15.55,15.75,15.89,15.33,3231068.0,300538
2020-02-10,15.75,15.94,15.98,15.5,2840207.0,300538
2020-02-11,15.96,15.94,16.17,15.84,2583682.0,300538
2020-02-12,15.94,16.24,16.27,15.73,3117589.0,300538
2020-02-13,16.14,15.89,16.35,15.89,3272384.0,300538
2020-02-14,15.95,16.09,16.28,15.8,3047788.0,300538
2020-02-17,16.2,16.75,16.78,16.09,3690306.0,300538
2020-02-18,17.39,17.46,17.67,16.98,5935895.0,300538
2020-02-19,18.25,17.55,18.25,17.44,6349240.0,300538
2020-02-20,17.4,19.31,19.31,17.3,10567689.0,300538
2020-02-21,19.47,20.39,21.19,19.06,15366196.0,300538
2020-02-24,19.81,21.31,22.28,19.61,12950475.0,300538
2020-02-25,20.37,20.96,21.33,19.8,10532636.0,300538
2020-02-26,20.56,20.1,21.5,19.88,9066066.0,300538
2020-02-27,20.4,19.83,20.52,19.33,6412612.0,300538
2020-02-28,18.81,17.85,19.14,17.85,6919652.0,300538
2020-03-02,18.17,18.85,19.03,17.82,4923474.0,300538
2020-03-03,19.37,19.44,20.18,19.26,5729538.0,300538
2020-03-04,19.39,19.41,19.88,19.06,4123231.0,300538
2020-03-05,19.88,20.1,20.15,19.09,5743323.0,300538
2020-03-06,19.8,20.93,21.7,19.68,11214225.0,300538
2020-03-09,21.0,21.22,22.66,20.58,14374067.0,300538
2020-03-10,19.91,21.15,21.29,19.18,12303047.0,300538
2020-03-11,20.9,19.95,21.15,19.88,7659691.0,300538
2020-03-12,19.2,18.93,19.46,18.6,5437095.0,300538
2020-03-13,17.42,18.64,19.08,17.42,5671539.0,300538
2020-03-16,18.8,18.04,19.31,17.85,5043798.0,300538
2020-03-17,18.04,18.89,19.0,17.5,5776355.0,300538
2020-03-18,19.2,18.4,19.48,18.36,6071576.0,300538
2020-03-19,18.23,20.24,20.24,18.23,7766104.0,300538
2020-03-20,21.0,21.64,22.26,20.0,21019090.0,300538
2020-03-23,20.52,20.42,21.5,19.82,13499733.0,300538
2020-03-24,21.0,22.64,22.64,20.63,20322636.0,300538
2020-03-25,23.71,21.98,24.27,21.72,20312892.0,300538
2020-03-26,21.04,20.6,21.42,20.3,12185088.0,300538
2020-03-27,20.95,19.53,21.0,19.4,9158048.0,300538
2020-03-30,18.99,18.82,19.19,18.01,7527552.0,300538
2020-03-31,19.11,19.09,19.54,18.96,6271649.0,300538
2020-04-01,18.8,20.29,20.65,18.68,9984191.0,300538
2020-04-02,19.94,20.93,21.33,19.88,9632112.0,300538
2020-04-03,20.55,20.62,20.95,19.98,8506483.0,300538
2020-04-07,21.06,21.21,21.3,20.7,9416682.0,300538
2020-04-08,21.0,20.68,21.14,20.2,7833650.0,300538
2020-04-09,20.77,20.86,20.88,20.25,6420504.0,300538
2020-04-10,21.0,21.53,22.5,20.36,14329862.0,300538
2020-04-13,21.0,22.6,22.81,20.8,14092590.0,300538
2020-04-14,22.1,22.58,22.6,21.63,9626316.0,300538
2020-04-15,22.31,21.45,23.2,21.45,9254089.0,300538
2020-04-16,20.7,20.76,20.85,19.89,7966705.0,300538
2020-04-17,20.89,22.89,22.89,20.61,5090161.0,300538
2020-04-20,23.42,23.8,24.6,22.51,18226083.0,300538
2020-04-21,23.64,23.19,24.3,22.88,11204017.0,300538
2020-04-22,22.7,25.59,25.59,22.7,9235914.0,300538
2020-04-23,26.36,26.76,28.15,25.71,23350661.0,300538
2020-04-24,25.68,24.08,26.0,24.08,13333559.0,300538
2020-04-27,23.33,22.44,23.6,22.41,9799456.0,300538
2020-04-28,22.27,24.67,24.67,22.27,14828661.0,300538
2020-04-29,23.71,24.8,25.79,23.46,17187587.0,300538
2020-04-30,24.59,25.2,26.39,24.59,16495592.0,300538
2020-05-06,25.0,27.71,27.71,24.8,17053783.0,300538
2020-05-07,28.84,27.13,30.0,26.25,22616023.0,300538
2020-05-08,26.84,29.74,29.74,26.21,21091045.0,300538
2020-05-11,30.5,30.88,32.71,29.7,25741158.0,300538
2020-05-12,29.04,27.84,29.5,27.81,18560947.0,300538
2020-05-13,27.6,29.85,29.9,27.52,15296728.0,300538
2020-05-14,29.03,30.21,31.42,28.42,15287257.0,300538
2020-05-15,30.2,29.7,30.88,29.3,11898082.0,300538
2020-05-18,29.72,29.11,31.4,28.33,13219621.0,300538
2020-05-19,28.0,30.34,30.68,27.0,15528422.0,300538
2020-05-20,29.44,29.45,31.35,29.05,15222244.0,300538
2020-05-21,29.36,30.2,30.28,27.36,13046527.0,300538
2020-05-22,29.58,28.87,29.99,28.42,9674233.0,300538
2020-05-25,28.78,27.2,29.93,27.01,11041473.0,300538
2020-05-26,26.09,26.94,27.65,26.09,9566309.0,300538
2020-05-27,26.72,27.62,27.66,25.85,11450906.0,300538
2020-05-28,27.27,26.38,27.3,25.76,8037643.0,300538
2020-05-29,26.0,25.17,26.65,25.05,7740359.0,300538
2020-06-01,25.77,26.53,26.91,25.3,9248154.0,300538
2020-06-02,26.9,27.45,28.63,25.95,12166607.0,300538
2020-06-03,27.54,28.63,29.73,27.16,14656338.0,300538
2020-06-04,28.52,27.46,28.57,27.38,8749988.0,300538
2020-06-05,27.2,27.44,28.18,26.76,6954273.0,300538
2020-06-08,27.45,26.17,28.03,26.17,7435198.0,300538
2020-06-09,26.51,27.61,28.7,26.49,8023365.0,300538
2020-06-10,27.81,27.91,28.21,26.81,7528690.0,300538
2020-06-11,27.62,28.95,29.37,27.41,13463545.0,300538
2020-06-12,27.83,29.59,29.99,27.83,12627476.0,300538
