date,open,close,high,low,volume,code
2020-01-02,5.7,5.62,5.74,5.53,6232506.0,03933
2020-01-03,5.62,5.6,5.64,5.52,1481202.0,03933
2020-01-06,5.58,5.54,5.58,5.42,2496000.0,03933
2020-01-07,5.6,5.56,5.7,5.47,4013283.0,03933
2020-01-08,5.54,5.48,5.58,5.36,3792000.0,03933
2020-01-09,5.48,5.51,5.57,5.43,1714500.0,03933
2020-01-10,5.47,5.43,5.49,5.29,7449300.0,03933
2020-01-13,5.49,5.4,5.59,5.35,3970000.0,03933
2020-01-14,5.4,5.63,5.67,5.39,6466000.0,03933
2020-01-15,5.67,5.62,5.67,5.57,2460500.0,03933
2020-01-16,5.57,5.8,5.84,5.49,7652000.0,03933
2020-01-17,5.86,5.86,5.91,5.68,4444090.0,03933
2020-01-20,5.92,5.76,6.07,5.76,3434000.0,03933
2020-01-21,5.79,5.58,5.84,5.56,2234000.0,03933
2020-01-22,5.6,5.72,5.86,5.59,5130180.0,03933
2020-01-23,5.72,5.62,5.74,5.51,2012000.0,03933
2020-01-24,5.57,5.73,5.73,5.5,864000.0,03933
2020-01-29,5.7,5.32,5.7,5.29,4428395.0,03933
2020-01-30,5.32,5.18,5.36,5.12,4491000.0,03933
2020-01-31,5.16,5.13,5.29,5.09,1604126.0,03933
2020-02-03,5.04,5.14,5.36,5.02,7017782.0,03933
2020-02-04,5.18,5.4,5.53,5.18,5858000.0,03933
2020-02-05,5.41,5.39,5.58,5.27,4184000.0,03933
2020-02-06,5.39,5.4,5.54,5.32,3674000.0,03933
2020-02-07,5.39,5.46,5.48,5.35,3709296.0,03933
2020-02-10,5.54,5.54,5.57,5.4,2326000.0,03933
2020-02-11,5.53,5.49,5.58,5.46,1626000.0,03933
2020-02-12,5.54,5.44,5.55,5.4,2715621.0,03933
2020-02-13,5.42,5.35,5.43,5.28,2236000.0,03933
2020-02-14,5.33,5.29,5.37,5.28,2181299.0,03933
2020-02-17,5.28,5.5,5.66,5.25,4555061.0,03933
2020-02-18,5.47,5.55,5.56,5.42,2477280.0,03933
2020-02-19,5.65,5.56,5.65,5.43,5229000.0,03933
2020-02-20,5.53,5.65,5.7,5.5,7765000.0,03933
2020-02-21,5.7,5.65,5.7,5.53,2334189.0,03933
2020-02-24,5.56,5.39,5.57,5.39,5202500.0,03933
2020-02-25,5.39,5.58,5.61,5.36,4193500.0,03933
2020-02-26,5.54,5.47,5.54,5.43,1723685.0,03933
2020-02-27,5.42,5.43,5.5,5.4,2084000.0,03933
2020-02-28,5.38,5.2,5.43,5.16,2837000.0,03933
2020-03-02,5.24,5.4,5.47,5.16,7929831.0,03933
2020-03-03,5.41,5.48,5.6,5.38,5284500.0,03933
2020-03-04,5.41,5.5,5.55,5.36,2464350.0,03933
2020-03-05,5.56,5.85,6.1,5.56,12375150.0,03933
2020-03-06,5.84,5.96,6.15,5.75,10007700.0,03933
2020-03-09,5.85,5.72,6.01,5.72,6553104.0,03933
2020-03-10,5.8,5.77,5.84,5.57,5237622.0,03933
2020-03-11,5.78,6.0,6.07,5.72,7442000.0,03933
2020-03-12,5.9,5.73,6.1,5.68,7849200.0,03933
2020-03-13,5.45,5.55,5.61,5.25,10824000.0,03933
2020-03-16,5.6,5.25,5.83,5.13,10301500.0,03933
2020-03-17,5.27,5.28,5.39,5.05,9511500.0,03933
2020-03-18,5.21,4.8,5.36,4.72,11557999.0,03933
2020-03-19,4.84,4.75,4.95,4.63,12293831.0,03933
2020-03-20,4.89,5.0,5.03,4.77,7756000.0,03933
2020-03-23,4.88,5.03,5.1,4.8,9349382.0,03933
2020-03-24,5.13,5.36,5.41,5.11,6883009.0,03933
2020-03-25,5.43,5.42,5.53,5.3,5334362.0,03933
2020-03-26,5.33,5.35,5.44,5.25,4164564.0,03933
2020-03-27,5.54,5.47,5.59,5.36,6793496.0,03933
2020-03-30,5.46,5.7,5.79,5.44,7607283.0,03933
2020-03-31,5.71,6.25,6.39,5.7,18034501.0,03933
2020-04-01,6.29,6.26,6.54,6.05,12474502.0,03933
