date,open,close,high,low,volume,code
2020-01-02,7.08,7.28,7.28,7.08,8536000.0,03311
2020-01-03,7.28,7.27,7.36,7.2,7279358.0,03311
2020-01-06,7.17,7.15,7.23,7.03,4417931.0,03311
2020-01-07,7.25,7.23,7.32,7.2,2432500.0,03311
2020-01-08,7.2,7.08,7.2,7.02,2581738.0,03311
2020-01-09,7.1,7.22,7.25,7.1,2712000.0,03311
2020-01-10,7.17,7.24,7.27,7.13,2377194.0,03311
2020-01-13,7.17,7.19,7.24,7.15,2518738.0,03311
2020-01-14,7.27,7.19,7.32,7.15,4812796.0,03311
2020-01-15,7.19,7.25,7.25,7.15,2799592.0,03311
2020-01-16,7.22,7.21,7.27,7.17,4697097.0,03311
2020-01-17,7.22,7.25,7.28,7.15,3659522.0,03311
2020-01-20,7.25,7.2,7.25,7.17,1405595.0,03311
2020-01-21,7.16,7.02,7.17,6.96,4814000.0,03311
2020-01-22,7.14,7.13,7.14,6.95,2239250.0,03311
2020-01-23,7.06,7.03,7.24,6.97,5487869.0,03311
2020-01-24,7.01,7.04,7.08,6.96,1834917.0,03311
2020-01-29,6.96,6.73,6.96,6.59,4969274.0,03311
2020-01-30,6.67,6.5,6.68,6.42,5205274.0,03311
2020-01-31,6.6,6.21,6.6,6.21,6567278.0,03311
2020-02-03,6.17,6.1,6.35,6.02,7454909.0,03311
2020-02-04,6.21,6.2,6.22,6.05,5481607.0,03311
2020-02-05,6.23,6.18,6.3,6.15,3351921.0,03311
2020-02-06,6.31,6.65,6.65,6.31,8524380.0,03311
2020-02-07,6.6,6.62,6.73,6.59,12814312.0,03311
2020-02-10,6.55,6.67,6.75,6.52,4106377.0,03311
2020-02-11,6.7,6.87,6.95,6.7,6820813.0,03311
2020-02-12,6.86,6.67,6.87,6.63,8498889.0,03311
2020-02-13,6.67,6.79,6.92,6.67,3363089.0,03311
2020-02-14,6.88,6.82,6.89,6.78,1650364.0,03311
2020-02-17,6.76,6.88,6.94,6.76,2424889.0,03311
2020-02-18,6.95,6.82,6.95,6.72,3047755.0,03311
2020-02-19,6.79,6.91,6.94,6.79,2697001.0,03311
2020-02-20,6.91,6.88,6.92,6.76,3080950.0,03311
2020-02-21,6.82,6.83,6.91,6.81,1477168.0,03311
2020-02-24,6.78,6.55,6.79,6.52,2750000.0,03311
2020-02-25,6.42,6.52,6.57,6.35,2540345.0,03311
2020-02-26,6.52,6.56,6.66,6.39,4016971.0,03311
2020-02-27,6.57,6.4,6.64,6.23,16842764.0,03311
2020-02-28,6.19,6.31,6.35,6.17,6339481.0,03311
2020-03-02,6.31,6.58,6.74,6.31,6577000.0,03311
2020-03-03,6.69,6.57,6.75,6.51,3698000.0,03311
2020-03-04,6.58,6.57,6.64,6.46,3053425.0,03311
2020-03-05,6.64,6.51,6.64,6.51,3652000.0,03311
2020-03-06,6.47,6.43,6.47,6.35,3098827.0,03311
2020-03-09,6.3,6.1,6.3,6.09,7218220.0,03311
2020-03-10,6.11,6.08,6.17,5.96,6288248.0,03311
2020-03-11,6.1,6.04,6.27,5.95,6414418.0,03311
2020-03-12,5.98,5.87,5.99,5.8,5395401.0,03311
2020-03-13,5.3,5.47,5.57,5.21,13883441.0,03311
2020-03-16,5.4,5.24,5.48,5.2,5667821.0,03311
2020-03-17,5.18,5.01,5.24,4.99,8061365.0,03311
2020-03-18,5.08,4.82,5.2,4.8,6461021.0,03311
2020-03-19,4.82,4.36,4.82,4.3,11296406.0,03311
2020-03-20,4.44,4.54,4.61,4.22,13216424.0,03311
2020-03-23,4.33,4.26,4.46,4.25,4122066.0,03311
2020-03-24,4.31,4.38,4.48,4.28,5716425.0,03311
2020-03-25,4.46,5.05,5.22,4.46,14538781.0,03311
2020-03-26,5.05,5.36,5.44,5.0,13861251.0,03311
2020-03-27,5.45,5.49,5.64,5.39,8388688.0,03311
2020-03-30,5.4,5.53,5.62,5.3,7170717.0,03311
2020-03-31,5.63,5.74,5.8,5.6,6183165.0,03311
2020-04-01,5.54,5.8,5.9,5.5,11121868.0,03311
2020-04-02,5.8,5.84,5.84,5.69,8645288.0,03311
2020-04-03,5.79,5.75,5.88,5.72,8036337.0,03311
2020-04-06,5.81,5.88,5.88,5.65,2957206.0,03311
2020-04-07,5.98,6.2,6.24,5.98,7100329.0,03311
2020-04-08,6.2,6.14,6.2,6.0,5039235.0,03311
2020-04-09,6.15,6.13,6.24,6.03,4544672.0,03311
2020-04-14,6.11,6.16,6.23,6.11,7297393.0,03311
2020-04-15,6.16,6.02,6.16,6.0,3020550.0,03311
2020-04-16,5.93,5.86,5.94,5.76,6896000.0,03311
2020-04-17,5.94,6.04,6.08,5.94,3590212.0,03311
2020-04-20,6.04,6.17,6.19,6.03,2196381.0,03311
2020-04-21,6.03,6.03,6.15,6.02,3698870.0,03311
2020-04-22,6.0,5.88,6.12,5.87,4478496.0,03311
2020-04-23,5.96,5.99,6.08,5.73,5322322.0,03311
2020-04-24,6.03,5.85,6.06,5.85,5386494.0,03311
2020-04-27,5.9,5.94,6.06,5.81,6372713.0,03311
2020-04-28,6.02,6.01,6.04,5.94,4834832.0,03311
2020-04-29,6.07,6.0,6.07,5.88,5090359.0,03311
2020-05-04,5.83,5.91,5.97,5.83,6075924.0,03311
2020-05-05,5.91,5.92,6.0,5.88,1800000.0,03311
2020-05-06,5.92,5.99,6.06,5.92,2436250.0,03311
2020-05-07,5.98,5.95,6.0,5.92,1117000.0,03311
2020-05-08,6.0,6.2,6.2,6.0,6809578.0,03311
2020-05-11,6.2,6.13,6.23,6.05,1595160.0,03311
2020-05-12,6.09,6.05,6.09,6.0,1608742.0,03311
2020-05-13,6.03,6.03,6.06,5.93,1314591.0,03311
2020-05-14,6.09,5.84,6.12,5.81,3998000.0,03311
2020-05-15,5.84,5.77,5.86,5.76,2010300.0,03311
2020-05-18,5.67,5.68,5.75,5.63,3072000.0,03311
2020-05-19,5.73,5.83,5.89,5.73,3014348.0,03311
2020-05-20,5.75,5.67,5.75,5.61,2890444.0,03311
